abashed,more abashed,most abashed
soupy,soupier,soupiest
sour,sourer/more sour,sourest/most sour
southerly,more southerly,most southerly
spaced,more spaced,most spaced
spacey,spacier/more spacey,spaciest/most spacey
spacious,more spacious,most spacious
spare,sparer,sparest
sparkling,more sparkling,most sparkling
sparky,sparkier,sparkiest
sparse,sparser,sparsest
#,spartan,['Spar·tan'],[],[],more ~; most ~
spatial,more spatial,most spatial
specialized/specialised,more specialized/more specialised,most specialized/most specialised
specific,more specific,most specific
specious,more specious,most specious
speckled,more speckled,most speckled
spectacular,more spectacular,most spectacular
speedy,speedier,speediest
spicy,spicier,spiciest
spiffy,spiffier,spiffiest
spiky,spikier,spikiest
spindly,spindlier/more spindly,spindliest/most spindly
spine-chilling,more spine-chilling,most spine-chilling
spine-tingling,more spine-tingling,most spine-tingling
spiny,spinier,spiniest
spirited,more spirited,most spirited
spiritless,more spiritless,most spiritless
spiritual,more spiritual,most spiritual
spiteful,more spiteful,most spiteful
splashy,splashier/more splashy,splashiest/most splashy
splendid,more splendid,most splendid
splenetic,more splenetic,most splenetic
splintery,more splintery,most splintery
splotchy,splotchier,splotchiest
spongy,spongier/more spongy,spongiest/most spongy
spooky,spookier/more spooky,spookiest/most spooky
sporty,sportier/more sporty,sportiest/most sporty
spotty,spottier,spottiest
sprightly,sprightlier,sprightliest
springy,springier,springiest
spruce,sprucer,sprucest
#,spry,[],['sprier', 'spryer', 'spriest', 'spryest'],['spri·er', 'spry·er', 'spri·est', 'spry·est'],
spunky,spunkier,spunkiest
squalid,more squalid,most squalid
squally,squallier,squalliest
square,squarer/more square,squarest/most square
squashy,squashier/more squashy,squashiest/most squashy
squat,squatter,squattest
squeaky,squeakier/more squeaky,squeakiest/most squeaky
squeamish,more squeamish,most squeamish
squiggly,squigglier,squiggliest
squinty,squintier,squintiest
squirmy,squirmier,squirmiest
#,squirrelly,['squir·rely'],[],[],more ~; most ~
squishy,squishier/more squishy,squishiest/most squishy
stable,stabler/more stable,stablest/most stable
staggering,more staggering,most staggering
#,stagy,['stag·ey'],['stagier', 'stagiest'],['stag·i·er', '-est'],
staid,more staid,most staid
stale,staler/more stale,stalest/most stale
stalwart,more stalwart,most stalwart
standoffish,more standoffish,most standoffish
starchy,starchier,starchiest
stark,starker,starkest
starry,starrier/more starry,starriest/most starry
starry-eyed,more starry-eyed,most starry-eyed
startling,more startling,most startling
stately,statelier/more stately,stateliest/most stately
statesmanlike,more statesmanlike,most statesmanlike
statuesque,more statuesque,most statuesque
staunch,stauncher/more staunch,staunchest/most staunch
steadfast,more steadfast,most steadfast
steady,steadier/more steady,steadiest/most steady
stealthy,stealthier/more stealthy,stealthiest/most stealthy
steamed,more steamed,most steamed
steamy,steamier/more steamy,steamiest/most steamy
steely,steelier,steeliest
steep,steeper/more steep,steepest/most steep
stentorian,more stentorian,most stentorian
stereotypical,more stereotypical,most stereotypical
sterile,more sterile,most sterile
stern,sterner,sternest
sticky,stickier,stickiest
stiff,stiffer/more stiff,stiffest/most stiff
stiff-necked,more stiff-necked,most stiff-necked
stifling,more stifling,most stifling
stimulating,more stimulating,most stimulating
stingy,stingier/more stingy,stingiest/most stingy
stinky,stinkier,stinkiest
stirring,more stirring,most stirring
stocky,stockier,stockiest
stodgy,stodgier,stodgiest
#,stoic,['sto·i·cal'],[],[],more ~; most ~
stoked,more stoked,most stoked
stolid,more stolid,most stolid
stoned,more stoned,most stoned
#,stone-faced,['stony-faced'],[],[],more ~; most ~
stony,stonier,stoniest
stormy,stormier/more stormy,stormiest/most stormy
stout,stouter/more stout,stoutest/most stout
straggly,stragglier/more straggly,straggliest/most straggly
straight,straighter/more straight,straightest/most straight
straightforward,more straightforward,most straightforward
#,straitlaced,['straight·laced'],[],[],more ~; most ~
strange,stranger/more strange,strangest/most strange
streaky,streakier/more streaky,streakiest/most streaky
streamlined,more streamlined,most streamlined
street-smart,more street-smart,most street-smart
streetwise,more streetwise,most streetwise
strenuous,more strenuous,most strenuous
stressful,more stressful,most stressful
stretchy,stretchier/more stretchy,stretchiest/most stretchy
strict,stricter/more strict,strictest/most strict
strident,more strident,most strident
striking,more striking,most striking
stringent,more stringent,most stringent
stringy,stringier,stringiest
#,stripy,['strip·ey'],['stripier', 'stripiest'],['strip·i·er', '-est'],
strong,stronger,strongest
strong-minded,more strong-minded,most strong-minded
strong-willed,more strong-willed,most strong-willed
stroppy,stroppier,stroppiest
stubborn,more stubborn,most stubborn
stubby,stubbier,stubbiest
stuck-up,more stuck-up,most stuck-up
studious,more studious,most studious
studly,studlier,studliest
stuffy,stuffier,stuffiest
stultifying,more stultifying,most stultifying
stumpy,stumpier,stumpiest
stunning,more stunning,most stunning
stupefied,more stupefied,most stupefied
stupefying,more stupefying,most stupefying
stupendous,more stupendous,most stupendous
stupid,stupider/more stupid,stupidest/most stupid
sturdy,sturdier/more sturdy,sturdiest/most sturdy
stylish,more stylish,most stylish
#,stylized,['styl·ised'],[],[],more ~; most ~
suave,suaver/more suave,suavest/most suave
subdued,more subdued,most subdued
sublime,more sublime,most sublime
submissive,more submissive,most submissive
subservient,more subservient,most subservient
substantial,more substantial,most substantial
substantive,more substantive,most substantive
subtle,subtler/more subtle,subtlest/most subtle
subtropical,more subtropical,most subtropical
subversive,more subversive,most subversive
successful,more successful,most successful
succinct,more succinct,most succinct
succulent,more succulent,most succulent
sudden,more sudden,most sudden
sudsy,sudsier/more sudsy,sudsiest/most sudsy
sufficient,more sufficient,most sufficient
suffocating,more suffocating,most suffocating
sugary,more sugary,most sugary
suggestible,more suggestible,most suggestible
suggestive,more suggestive,most suggestive
suicidal,more suicidal,most suicidal
suitable,more suitable,most suitable
suited,more suited,most suited
sulky,sulkier/more sulky,sulkiest/most sulky
sullen,more sullen,most sullen
sultry,sultrier/more sultry,sultriest/most sultry
summery,more summery,most summery
sumptuous,more sumptuous,most sumptuous
sunny,sunnier,sunniest
suntanned,more suntanned,most suntanned
supercilious,more supercilious,most supercilious
superficial,more superficial,most superficial
superfluous,more superfluous,most superfluous
superstitious,more superstitious,most superstitious
supple,suppler/more supple,supplest/most supple
supportive,more supportive,most supportive
sure,surer/more sure,surest/most sure
surefooted,more surefooted,most surefooted
sure-handed,more sure-handed,most sure-handed
surly,surlier,surliest
surmountable,more surmountable,most surmountable
surprised,more surprised,most surprised
surprising,more surprising,most surprising
surreal,more surreal,most surreal
survivable,more survivable,most survivable
susceptible,more susceptible,most susceptible
suspect,more suspect,most suspect
suspenseful,more suspenseful,most suspenseful
suspicious,more suspicious,most suspicious
sustainable,more sustainable,most sustainable
svelte,more svelte,most svelte
swampy,swampier/more swampy,swampiest/most swampy
swank,swanker,swankest
swanky,swankier,swankiest
swarthy,swarthier/more swarthy,swarthiest/most swarthy
sweaty,sweatier/more sweaty,sweatiest/most sweaty
sweeping,more sweeping,most sweeping
sweet,sweeter/more sweet,sweetest/most sweet
swift,swifter/more swift,swiftest/most swift
swinging,more swinging,most swinging
sybaritic,more sybaritic,most sybaritic
sycophantic,more sycophantic,most sycophantic
symmetrical/symmetric,more symmetrical/more symmetric,most symmetrical/most symmetric
sympathetic,more sympathetic,most sympathetic
syrupy,more syrupy,most syrupy
taboo,more taboo,most taboo
taciturn,more taciturn,most taciturn
tacky,tackier/more tacky,tackiest/most tacky
tactful,more tactful,most tactful
tactile,more tactile,most tactile
tactless,more tactless,most tactless
talented,more talented,most talented
talkative,more talkative,most talkative
talky,talkier,talkiest
tall,taller,tallest
tame,tamer/more tame,tamest/most tame
tan,more tan,most tan
tangy,tangier,tangiest
#,tantalizing,['tan·ta·lis·ing'],[],[],more ~; most ~
tapered,more tapered,most tapered
tardy,tardier,tardiest
tart,tarter/more tart,tartest/most tart
tarty,tartier,tartiest
tasteful,more tasteful,most tasteful
tasty,tastier/more tasty,tastiest/most tasty
tatty,tattier,tattiest
taut,tauter/more taut,tautest/most taut
tawdry,tawdrier,tawdriest
taxing,more taxing,most taxing
teachable,more teachable,most teachable
tearful,more tearful,most tearful
tear-jerking,more tear-jerking,most tear-jerking
teary,tearier/more teary,teariest/most teary
teary-eyed,more teary-eyed,most teary-eyed
technophobic,more technophobic,most technophobic
tedious,more tedious,most tedious
teensy,teensier/more teensy,teensiest/most teensy
teensy-weensy,teensy-weenweensier/more teensy-weensy,teensy-weenest/most teensy-weensy
teeny,teenier/more teeny,teeniest/most teeny
teeny-weeny,teeny-weeweenier/more teeny-weeny,teeny-weeest/most teeny-weeny
telegenic,more telegenic,most telegenic
telling,more telling,most telling
tempestuous,more tempestuous,most tempestuous
tempting,more tempting,most tempting
tenable,more tenable,most tenable
tenacious,more tenacious,most tenacious
tendentious,more tendentious,most tendentious
tender,tenderer/more tender,tenest/most tender
tender-hearted,more tender-hearted,most tender-hearted
tense,tenser,tensest
tensed,more tensed,most tensed
tentative,more tentative,most tentative
tented,more tented,most tented
tentlike,more tentlike,most tentlike
tenuous,more tenuous,most tenuous
tepid,more tepid,most tepid
terminable,more terminable,most terminable
terrestrial,more terrestrial,most terrestrial
terrible,more terrible,most terrible
terrified,more terrified,most terrified
terrifying,more terrifying,most terrifying
testing,more testing,most testing
testy,testier,testiest
tetchy,tetchier,tetchiest
thankful,more thankful,most thankful
thick,thicker/more thick,thickest/most thick
thick-headed,more thick-headed,most thick-headed
thickset,more thickset,most thickset
thick-skinned,more thick-skinned,most thick-skinned
thin,thinner/more thin,thinnest/most thin
thin-skinned,more thin-skinned,most thin-skinned
thirsty,thirstier,thirstiest
thorny,thornier/more thorny,thorniest/most thorny
thorough,more thorough,most thorough
thoroughgoing,more thoroughgoing,most thoroughgoing
thoughtful,more thoughtful,most thoughtful
thoughtless,more thoughtless,most thoughtless
thought-provoking,more thought-provoking,most thought-provoking
threadbare,more threadbare,most threadbare
threatening,more threatening,most threatening
thrifty,thriftier,thriftiest
thrilled,more thrilled,most thrilled
thrilling,more thrilling,most thrilling
throaty,throatier,throatiest
thuggish,more thuggish,most thuggish
thundery,more thundery,most thundery
ticklish,more ticklish,most ticklish
tidy,tidier/more tidy,tidiest/most tidy
tigerish,more tigerish,most tigerish
tight,tighter,tightest
tightfisted,more tightfisted,most tightfisted
tight-knit,more tight-knit,most tight-knit
tight-lipped,more tight-lipped,most tight-lipped
tillable,more tillable,most tillable
time-consuming,more time-consuming,most time-consuming
timely,timelier/more timely,timeliest/most timely
timeworn,more timeworn,most timeworn
timid,more timid,most timid
timorous,more timorous,most timorous
tingly,tinglier,tingliest
tinny,tinnier,tinniest
tiny,tinier,tiniest
tipsy,tipsier/more tipsy,tipsiest/most tipsy
tired,more tired,most tired
tiresome,more tiresome,most tiresome
tiring,more tiring,most tiring
titanic,more titanic,most titanic
titillating,more titillating,most titillating
toasty,toastier,toastiest
toffee-nosed,more toffee-nosed,most toffee-nosed
together,more together,most together
tolerable,more tolerable,most tolerable
tolerant,more tolerant,most tolerant
tomboyish,more tomboyish,most tomboyish
tony,tonier/more tony,toniest/most tony
toothsome,more toothsome,most toothsome
toothy,toothier,toothiest
torpid,more torpid,most torpid
tortuous,more tortuous,most tortuous
torturous,more torturous,most torturous
touching,more touching,most touching
touchy,touchier/more touchy,touchiest/most touchy
touchy-feely,more touchy-feely,most touchy-feely
tough,tougher,toughest
touristy,more touristy,most touristy
toxic,more toxic,most toxic
traceable,more traceable,most traceable
tractable,more tractable,most tractable
trad,more trad,most trad
traditional,more traditional,most traditional
trafficked,more trafficked,most trafficked
tragic,more tragic,most tragic
trailblazing,more trailblazing,most trailblazing
trailing,more trailing,most trailing
trainable,more trainable,most trainable
traitorous,more traitorous,most traitorous
tranquil,more tranquil,most tranquil
#,transferable,['trans·fer·ra·ble'],[],[],more ~; most ~
transient,more transient,most transient
translatable,more translatable,most translatable
translucent,more translucent,most translucent
transmissible,more transmissible,most transmissible
transmittable,more transmittable,most transmittable
transparent,more transparent,most transparent
transportable,more transportable,most transportable
trashed,more trashed,most trashed
trashy,trashier,trashiest
traumatic,more traumatic,most traumatic
treacherous,more treacherous,most treacherous
treacly,treaclier/more treacly,treacliest/most treacly
tremendous,more tremendous,most tremendous
trenchant,more trenchant,most trenchant
trendy,trendier/more trendy,trendiest/most trendy
tricky,trickier/more tricky,trickiest/most tricky
trifling,more trifling,most trifling
trigger-happy,more trigger-happy,most trigger-happy
trim,trimmer,trimmest
trippy,trippier,tripest
trite,triter/more trite,tritest/most trite
trivial,more trivial,most trivial
troubled,more troubled,most troubled
troublesome,more troublesome,most troublesome
troubling,more troubling,most troubling
truculent,more truculent,most truculent
true,truer/more true,truest/most true
trusting,more trusting,most trusting
trustworthy,more trustworthy,most trustworthy
trusty,trustier/more trusty,trustiest/most trusty
truthful,more truthful,most truthful
trying,more trying,most trying
tubby,tubbier,tubbiest
tumultuous,more tumultuous,most tumultuous
tuneful,more tuneful,most tuneful
turbid,more turbid,most turbid
turbulent,more turbulent,most turbulent
turgid,more turgid,most turgid
twee,more twee,most twee
tweedy,tweedier/more tweedy,tweediest/most tweedy
twiggy,twiggier,twiggiest
twinkly,twinklier/more twinkly,twinest/most twinkly
twisted,more twisted,most twisted
twitchy,twitchier/more twitchy,twitchiest/most twitchy
two-faced,more two-faced,most two-faced
typical,more typical,most typical
tyrannical,more tyrannical,most tyrannical
ubiquitous,more ubiquitous,most ubiquitous
ugly,uglier/more ugly,ugliest/most ugly
unabashed,more unabashed,most unabashed
unadventurous,more unadventurous,most unadventurous
unambiguous,more unambiguous,most unambiguous
unambitious,more unambitious,most unambitious
unanticipated,more unanticipated,most unanticipated
unappealing,more unappealing,most unappealing
#,unappetizing,['un·ap·pe·tis·ing'],[],[],more ~; most ~
unappreciated,more unappreciated,most unappreciated
unapproachable,more unapproachable,most unapproachable
unassertive,more unassertive,most unassertive
unassuming,more unassuming,most unassuming
unattractive,more unattractive,most unattractive
unaware,more unaware,most unaware
unbearable,more unbearable,most unbearable
unbecoming,more unbecoming,most unbecoming
unbelievable,more unbelievable,most unbelievable
unbending,more unbending,most unbending
uncanny,more uncanny,most uncanny
uncaring,more uncaring,most uncaring
uncertain,more uncertain,most uncertain
uncharitable,more uncharitable,most uncharitable
uncivil,more uncivil,most uncivil
#,uncivilized,['un·civ·i·lised'],[],[],more ~; most ~
unclear,more unclear,most unclear
uncomfortable,more uncomfortable,most uncomfortable
uncommon,more uncommon,most uncommon
uncommunicative,more uncommunicative,most uncommunicative
uncomplaining,more uncomplaining,most uncomplaining
uncomplicated,more uncomplicated,most uncomplicated
uncomplimentary,more uncomplimentary,most uncomplimentary
uncompromising,more uncompromising,most uncompromising
uncongenial,more uncongenial,most uncongenial
unconventional,more unconventional,most unconventional
unconvinced,more unconvinced,most unconvinced
unconvincing,more unconvincing,most unconvincing
uncool,more uncool,most uncool
uncooperative,more uncooperative,most uncooperative
uncoordinated,more uncoordinated,most uncoordinated
uncouth,more uncouth,most uncouth
uncritical,more uncritical,most uncritical
unctuous,more unctuous,most unctuous
uncultured,more uncultured,most uncultured
undaunted,more undaunted,most undaunted
undemanding,more undemanding,most undemanding
undemocratic,more undemocratic,most undemocratic
undemonstrative,more undemonstrative,most undemonstrative
undeniable,more undeniable,most undeniable
undependable,more undependable,most undependable
underappreciated,more underappreciated,most underappreciated
underdeveloped,more underdeveloped,most underdeveloped
underfed,more underfed,most underfed
underfunded,more underfunded,most underfunded
undermanned,more undermanned,most undermanned
undernourished,more undernourished,most undernourished
underprivileged,more underprivileged,most underprivileged
underrated,more underrated,most underrated
undersized,more undersized,most undersized
understaffed,more understaffed,most understaffed
understandable,more understandable,most understandable
understanding,more understanding,most understanding
underweight,more underweight,most underweight
undeserving,more undeserving,most undeserving
undesirable,more undesirable,most undesirable
undesired,more undesired,most undesired
undeveloped,more undeveloped,most undeveloped
undignified,more undignified,most undignified
undisciplined,more undisciplined,most undisciplined
undiscriminating,more undiscriminating,most undiscriminating
uneasy,more uneasy,most uneasy
uneconomical,more uneconomical,most uneconomical
unedifying,more unedifying,most unedifying
uneducated,more uneducated,most uneducated
unemotional,more unemotional,most unemotional
unenlightened,more unenlightened,most unenlightened
unenthusiastic,more unenthusiastic,most unenthusiastic
unenviable,more unenviable,most unenviable
unethical,more unethical,most unethical
uneventful,more uneventful,most uneventful
unexceptional,more unexceptional,most unexceptional
unfair,more unfair,most unfair
unfamiliar,more unfamiliar,most unfamiliar
unfashionable,more unfashionable,most unfashionable
unfeeling,more unfeeling,most unfeeling
unflappable,more unflappable,most unflappable
unflattering,more unflattering,most unflattering
unflinching,more unflinching,most unflinching
unforgettable,more unforgettable,most unforgettable
unforgivable,more unforgivable,most unforgivable
unforgiving,more unforgiving,most unforgiving
unfortunate,more unfortunate,most unfortunate
unfriendly,unfriendlier,unfriendliest
unfulfilling,more unfulfilling,most unfulfilling
ungainly,more ungainly,most ungainly
ungodly,ungodlier/more ungodly,ungodliest/most ungodly
ungracious,more ungracious,most ungracious
ungrateful,more ungrateful,most ungrateful
unhappy,unhappier/more unhappy,unhappiest/most unhappy
unhealthy,unhealthier/more unhealthy,unhealthiest/most unhealthy
unhelpful,more unhelpful,most unhelpful
unhip,more unhip,most unhip
uniform,more uniform,most uniform
unimaginable,more unimaginable,most unimaginable
unimaginative,more unimaginative,most unimaginative
unimportant,more unimportant,most unimportant
unimpressive,more unimpressive,most unimpressive
uninformed,more uninformed,most uninformed
uninhibited,more uninhibited,most uninhibited
uninspired,more uninspired,most uninspired
uninspiring,more uninspiring,most uninspiring
unintelligent,more unintelligent,most unintelligent
uninteresting,more uninteresting,most uninteresting
uninviting,more uninviting,most uninviting
universal,more universal,most universal
unjust,more unjust,most unjust
unjustifiable,more unjustifiable,most unjustifiable
unjustified,more unjustified,most unjustified
unkind,unkinder/more unkind,unkindest/most unkind
unlikely,unlikelier/more unlikely,unlikeliest/most unlikely
unlistenable,more unlistenable,most unlistenable
unlovable,more unlovable,most unlovable
unlovely,unlovelier/more unlovely,unloveliest/most unlovely
unloving,more unloving,most unloving
unlucky,unluckier/more unlucky,unluckiest/most unlucky
unmanageable,more unmanageable,most unmanageable
unmanly,more unmanly,most unmanly
unmemorable,more unmemorable,most unmemorable
unmerciful,more unmerciful,most unmerciful
unmotivated,more unmotivated,most unmotivated
unnatural,more unnatural,most unnatural
unnecessary,more unnecessary,most unnecessary
unnerving,more unnerving,most unnerving
unobjectionable,more unobjectionable,most unobjectionable
unobtainable,more unobtainable,most unobtainable
unoriginal,more unoriginal,most unoriginal
unorthodox,more unorthodox,most unorthodox
unpardonable,more unpardonable,most unpardonable
unpatriotic,more unpatriotic,most unpatriotic
unpersuasive,more unpersuasive,most unpersuasive
unpleasant,more unpleasant,most unpleasant
unpopular,more unpopular,most unpopular
unpredictable,more unpredictable,most unpredictable
unprejudiced,more unprejudiced,most unprejudiced
unprepared,more unprepared,most unprepared
unpretentious,more unpretentious,most unpretentious
unprincipled,more unprincipled,most unprincipled
unproductive,more unproductive,most unproductive
unprofessional,more unprofessional,most unprofessional
unprofitable,more unprofitable,most unprofitable
unpromising,more unpromising,most unpromising
unquiet,more unquiet,most unquiet
unreadable,more unreadable,most unreadable
unready,more unready,most unready
unreal,more unreal,most unreal
unrealistic,more unrealistic,most unrealistic
unreasonable,more unreasonable,most unreasonable
unreceptive,more unreceptive,most unreceptive
#,unrecognizable,['un·rec·og·nis·able'],[],[],more ~; most ~
unreliable,more unreliable,most unreliable
unremarkable,more unremarkable,most unremarkable
unrepentant,more unrepentant,most unrepentant
unrepresentative,more unrepresentative,most unrepresentative
unresponsive,more unresponsive,most unresponsive
unrewarding,more unrewarding,most unrewarding
unromantic,more unromantic,most unromantic
unruly,more unruly,most unruly
unsafe,unsafer/more unsafe,unsafest/most unsafe
unsanitary,more unsanitary,most unsanitary
unsatisfactory,more unsatisfactory,most unsatisfactory
unsatisfied,more unsatisfied,most unsatisfied
unsatisfying,more unsatisfying,most unsatisfying
unscrupulous,more unscrupulous,most unscrupulous
unseasonable,more unseasonable,most unseasonable
unseemly,more unseemly,most unseemly
unselfconscious,more unselfconscious,most unselfconscious
unselfish,more unselfish,most unselfish
unsentimental,more unsentimental,most unsentimental
unsettled,more unsettled,most unsettled
unsettling,more unsettling,most unsettling
#,unshakable,['un·shake·able'],[],[],more ~; most ~
unshaken,more unshaken,most unshaken
unsightly,more unsightly,most unsightly
unsmiling,more unsmiling,most unsmiling
unsociable,more unsociable,most unsociable
unsocial,more unsocial,most unsocial
unsophisticated,more unsophisticated,most unsophisticated
unsound,more unsound,most unsound
unsparing,more unsparing,most unsparing
unspeakable,more unspeakable,most unspeakable
unspectacular,more unspectacular,most unspectacular
#,unspoiled,['un·spoilt'],[],[],more ~; most ~
unsporting,more unsporting,most unsporting
unstable,more unstable,most unstable
unsteady,more unsteady,most unsteady
unstinting,more unstinting,most unstinting
unstoppable,more unstoppable,most unstoppable
unstructured,more unstructured,most unstructured
unsuccessful,more unsuccessful,most unsuccessful
unsuitable,more unsuitable,most unsuitable
unsuited,more unsuited,most unsuited
unsung,more unsung,most unsung
unsure,more unsure,most unsure
unsurprising,more unsurprising,most unsurprising
unsuspecting,more unsuspecting,most unsuspecting
unsympathetic,more unsympathetic,most unsympathetic
untamed,more untamed,most untamed
untenable,more untenable,most untenable
unthinkable,more unthinkable,most unthinkable
unthinking,more unthinking,most unthinking
untidy,more untidy,most untidy
untimely,more untimely,most untimely
untiring,more untiring,most untiring
untouchable,more untouchable,most untouchable
untrained,more untrained,most untrained
untrue,more untrue,most untrue
untrustworthy,more untrustworthy,most untrustworthy
untruthful,more untruthful,most untruthful
untutored,more untutored,most untutored
untypical,more untypical,most untypical
unusable,more unusable,most unusable
unused,more unused,most unused
unusual,more unusual,most unusual
unutterable,more unutterable,most unutterable
unvarnished,more unvarnished,most unvarnished
unwanted,more unwanted,most unwanted
unwarranted,more unwarranted,most unwarranted
unwary,more unwary,most unwary
unwavering,more unwavering,most unwavering
unwelcome,more unwelcome,most unwelcome
unwelcoming,more unwelcoming,most unwelcoming
unwell,more unwell,most unwell
unwholesome,more unwholesome,most unwholesome
unwieldy,more unwieldy,most unwieldy
unwilling,more unwilling,most unwilling
unwise,more unwise,most unwise
unwitting,more unwitting,most unwitting
unwonted,more unwonted,most unwonted
unworkable,more unworkable,most unworkable
unworldly,more unworldly,most unworldly
unworried,more unworried,most unworried
unworthy,unworthier/more unworthy,unworthiest/most unworthy
unyielding,more unyielding,most unyielding
up-and-coming,more up-and-coming,most up-and-coming
upbeat,more upbeat,most upbeat
uplifting,more uplifting,most uplifting
upmarket,more upmarket,most upmarket
uppity,more uppity,most uppity
uproarious,more uproarious,most uproarious
upscale,more upscale,most upscale
upset,more upset,most upset
upsetting,more upsetting,most upsetting
upstanding,more upstanding,most upstanding
uptight,more uptight,most uptight
up-to-date,more up-to-date,most up-to-date
urban,more urban,most urban
urbane,more urbane,most urbane
urbanised,more urbanised,most urbanised
urbanized,more urbanized,most urbanized
urgent,more urgent,most urgent
useful,more useful,most useful
useless,more useless,most useless
user-friendly,more user-friendly,most user-friendly
usual,more usual,most usual
utopian,more utopian,most utopian
vacuous,more vacuous,most vacuous
vague,vaguer/more vague,vaguest/most vague
vain,vainer,vainest
vainglorious,more vainglorious,most vainglorious
valiant,more valiant,most valiant
valorous,more valorous,most valorous
valuable,more valuable,most valuable
valued,more valued,most valued
vapid,more vapid,most vapid
variable,more variable,most variable
varied,more varied,most varied
variegated,more variegated,most variegated
vast,vaster/more vast,vastest/most vast
vehement,more vehement,most vehement
velvety,more velvety,most velvety
venal,more venal,most venal
venerable,more venerable,most venerable
vengeful,more vengeful,most vengeful
venial,more venial,most venial
venomous,more venomous,most venomous
venturesome,more venturesome,most venturesome
verbose,more verbose,most verbose
verdant,more verdant,most verdant
versatile,more versatile,most versatile
vexatious,more vexatious,most vexatious
vexed,more vexed,most vexed
vexing,more vexing,most vexing
vibrant,more vibrant,most vibrant
vicious,more vicious,most vicious
vigilant,more vigilant,most vigilant
vigorous,more vigorous,most vigorous
vile,viler/more vile,vilest/most vile
villainous,more villainous,most villainous
vindictive,more vindictive,most vindictive
vinegary,more vinegary,most vinegary
violent,more violent,most violent
virginal,more virginal,most virginal
virile,more virile,most virile
virtuous,more virtuous,most virtuous
virulent,more virulent,most virulent
viscous,more viscous,most viscous
visible,more visible,most visible
vitriolic,more vitriolic,most vitriolic
vituperative,more vituperative,most vituperative
vivacious,more vivacious,most vivacious
vivid,more vivid,most vivid
vociferous,more vociferous,most vociferous
volatile,more volatile,most volatile
voluble,more voluble,most voluble
voluminous,more voluminous,most voluminous
voluptuous,more voluptuous,most voluptuous
voracious,more voracious,most voracious
voyeuristic,more voyeuristic,most voyeuristic
vulgar,more vulgar,most vulgar
vulnerable,more vulnerable,most vulnerable
vulpine,more vulpine,most vulpine
wacky,wackier/more wacky,wackiest/most wacky
wanton,more wanton,most wanton
warlike,more warlike,most warlike
warm,warmer,warmest
warmhearted,more warmhearted,most warmhearted
warped,more warped,most warped
wary,warier,wariest
washable,more washable,most washable
washed-out,more washed-out,most washed-out
washed-up,more washed-up,most washed-up
waspish,more waspish,most waspish
wasteful,more wasteful,most wasteful
watchable,more watchable,most watchable
watchful,more watchful,most watchful
watered-down,more watered-down,most watered-down
waterless,more waterless,most waterless
waterlogged,more waterlogged,most waterlogged
water-repellent,more water-repellent,most water-repellent
water-resistant,more water-resistant,most water-resistant
watery,more watery,most watery
wavelike,more wavelike,most wavelike
wavy,wavier,waviest
waxen,more waxen,most waxen
waxlike,more waxlike,most waxlike
waxy,waxier,waxiest
way-out,more way-out,most way-out
wayward,more wayward,most wayward
weak,weaker/more weak,weakest/most weak
weak-minded,more weak-minded,most weak-minded
wealthy,wealthier,wealthiest
wearable,more wearable,most wearable
wearisome,more wearisome,most wearisome
weary,wearier/more weary,weariest/most weary
wearying,more wearying,most wearying
#,weaselly,['wea·sely'],[],[],more ~; most ~
weather-beaten,more weather-beaten,most weather-beaten
weedy,weedier,weediest
weepy,weepier,weepiest
weighty,weightier/more weighty,weightiest/most weighty
weird,weirder/more weird,weirdest/most weird
welcome,more welcome,most welcome
welcoming,more welcoming,most welcoming
well,better,best
well-adjusted,more well-adjusted,most well-adjusted
well-advised,more well-advised,most well-advised
well-appointed,more well-appointed,most well-appointed
well-balanced,more well-balanced,most well-balanced
well-behaved,more well-behaved,most well-behaved
well-bred,more well-bred,most well-bred
well-built,more well-built,most well-built
well-connected,more well-connected,most well-connected
well-defined,more well-defined,most well-defined
well-developed,more well-developed,most well-developed
well-disposed,more well-disposed,most well-disposed
well-documented,more well-documented,most well-documented
well-dressed,more well-dressed,most well-dressed
well-earned,more well-earned,most well-earned
well-endowed,more well-endowed,most well-endowed
well-fed,more well-fed,most well-fed
well-founded,more well-founded,most well-founded
well-groomed,more well-groomed,most well-groomed
well-grounded,more well-grounded,most well-grounded
well-heeled,more well-heeled,most well-heeled
well-informed,more well-informed,most well-informed
well-kept,more well-kept,most well-kept
well-known,more well-known,most well-known
well-liked,more well-liked,most well-liked
well-made,more well-made,most well-made
well-mannered,more well-mannered,most well-mannered
well-meaning,more well-meaning,most well-meaning
well-meant,more well-meant,most well-meant
well-off,better off/more well-off,best off/most well-off
well-oiled,more well-oiled,most well-oiled
well-ordered,more well-ordered,most well-ordered
well-placed,more well-placed,most well-placed
well-preserved,more well-preserved,most well-preserved
well-read,more well-read,most well-read
well-rounded,more well-rounded,most well-rounded
well-run,more well-run,most well-run
well-spoken,more well-spoken,most well-spoken
well-thought-of,more well-thought-of,most well-thought-of
well-thought-out,more well-thought-out,most well-thought-out
well-timed,more well-timed,most well-timed
well-to-do,more well-to-do,most well-to-do
well-tried,more well-tried,most well-tried
well-trodden,more well-trodden,most well-trodden
well-turned,more well-turned,most well-turned
well-worn,more well-worn,most well-worn
westerly,more westerly,most westerly
wet,wetter,wettest
whacked,more whacked,most whacked
